Gene,ETOH_DMSO_R1,ETOH_MRTX_R1,Tam_DMSO_R1,Tam_MRTX_R1,ETOH_DMSO_R2,ETOH_MRTX_R2,Tam_DMSO_R2,Tam_MRTX_R2
Gm24507,2.892361419,1.537020172,1.530203421,1.560871642,0,0,0,0
Gm2451,5.929915111,5.761669828,6.047563767,3.137713623,5.483422459,5.338016374,4.788728556,4.41106072
Gm2453,1.050193754,1.537020172,3.247501513,1.560871642,1.624219046,2.305928457,1.687091337,2.178242633
Gm24616,3.086725277,3.518622938,3.922387411,4.053334092,2.857634183,2.982491259,4.312562184,3.294995241
Gm24727,5.225254485,4.253117746,3.730501544,3.666974962,4.515315118,2.982491259,4.390985108,3.63918141
Gm24888,3.791782327,3.633625333,3.829632355,4.053334092,4.054904328,3.303915968,3.304550997,3.916866015
Gm25053,2.892361419,2.524781453,3.384233317,1.9728693,2.044089349,1.985005555,2.711532574,2.178242633
Gm25188,2.074650594,1.537020172,1.530203421,1.9728693,2.857634183,2.305928457,2.711532574,0.911886927
Gm25291,3.257985693,0.964193439,0.959126774,1.560871642,2.044089349,0.990021039,2.114401213,2.178242633
Gm2541,4.679681785,3.932116692,3.624053349,3.42647974,3.374675903,3.152136624,3.72359965,3.53332125
Gm25432,3.899224286,2.74541698,4.16947533,3.551732836,4.963469991,4.735606811,4.536095438,4.076138795
Gm2546,5.588431293,4.57430378,4.16947533,2.554785542,4.303398811,4.228961122,3.72359965,3.419073943
Gm2573,3.086725277,3.393653009,2.927693521,2.77630642,3.374675903,3.981232466,3.45815989,2.178242633
Gm2574,2.667674102,2.264203111,2.255963294,1.560871642,2.857634183,0.990021039,1.077266385,1.466240516
Gm25777,3.899224286,3.839316169,3.829632355,4.77237795,4.303398811,3.566614686,4.229630007,3.916866015
Gm25835,3.086725277,2.264203111,3.096441072,4.357777476,3.63866916,3.566614686,3.840000937,4.41106072
Gm2606,4.341597482,4.019306936,3.096441072,2.554785542,4.756724737,2.790205635,2.443642934,5.821067258
Gm26109,3.899224286,3.25682234,1.938247551,2.554785542,2.368909375,3.303915968,2.443642934,0.911886927
Gm2614,5.488743961,5.058882069,4.620781109,5.212605428,5.890375402,5.565355161,4.729595549,4.778478916
Gm26165,3.086725277,0,3.096441072,0.981969675,1.624219046,0.990021039,1.687091337,0
Gm26202,2.401420696,3.932116692,4.009537519,3.773688629,4.86379765,4.504411093,4.729595549,4.286260155
Gm26387,2.892361419,1.94595129,3.096441072,3.289309488,3.861746085,2.982491259,2.711532574,2.434968089
Gm26397,3.899224286,3.518622938,2.736560896,2.77630642,3.512702516,3.152136624,3.132616228,1.466240516
Gm26403,0,1.537020172,2.255963294,2.292970411,2.044089349,0.990021039,1.687091337,2.652837165
Gm26457,3.791782327,2.936742981,1.938247551,1.9728693,2.857634183,3.303915968,2.443642934,2.434968089
Gm26513,3.899224286,3.740133422,3.384233317,3.873049614,3.222033221,3.441236399,4.141638214,3.294995241
Gm26532,6.589492454,7.302962945,7.248508734,7.578608484,7.852649017,7.526974875,7.268515989,7.26209786
Gm26533,3.257985693,4.390284017,4.313438592,4.287475537,3.861746085,4.504411093,4.845532959,4.993342225
Gm26542,5.381653748,3.932116692,4.313438592,4.053334092,4.641063504,3.566614686,4.312562184,3.737802088
Gm26549,3.411056229,3.932116692,4.919727019,5.390830289,4.303398811,4.440320587,5.003645305,5.281872698
Gm26569,4.795465582,4.836843266,4.16947533,5.390830289,4.914494415,5.150457663,4.603520614,4.993342225
Gm26571,2.892361419,2.524781453,2.255963294,2.554785542,3.374675903,3.152136624,2.114401213,3.159232406
Gm26576,0,0.964193439,1.938247551,2.968297496,0,2.305928457,1.077266385,2.652837165
Gm26583,3.086725277,2.264203111,3.247501513,2.968297496,2.044089349,2.305928457,2.114401213,3.53332125
Gm26586,3.411056229,3.25682234,3.624053349,3.42647974,3.754514997,2.982491259,3.840000937,3.998699243
Gm26590,3.999216326,4.019306936,5.410810644,5.250055353,5.010837422,5.109831678,5.190658097,5.144808521
Gm26600,3.549432527,3.633625333,3.922387411,3.551732836,2.633868519,2.790205635,3.132616228,3.009353972
Gm26608,2.401420696,3.518622938,2.255963294,1.560871642,3.374675903,2.568292345,2.114401213,2.434968089
Gm26616,2.074650594,1.94595129,3.509120784,4.213571538,1.624219046,3.303915968,3.94770773,4.41106072
Gm26621,5.049815368,5.882870983,5.503801632,5.356903293,5.010837422,5.624232049,5.275795355,5.628854094
Gm26631,1.651506794,1.94595129,2.516182617,2.77630642,3.222033221,0,1.687091337,2.178242633
Gm26641,5.00240685,5.138937712,4.091721638,4.357777476,4.57955894,5.503972878,3.72359965,4.469632952
Gm26642,5.681673385,4.685115149,3.624053349,2.77630642,5.010837422,4.68118774,3.304550997,2.652837165
Gm26648,3.411056229,3.932116692,2.516182617,3.137713623,3.222033221,2.305928457,2.114401213,2.178242633
Gm26651,1.651506794,1.94595129,3.829632355,3.137713623,1.624219046,2.568292345,2.443642934,2.652837165
Gm26660,5.30557244,4.929797973,4.243251938,4.213571538,5.010837422,4.788047569,4.047929096,4.632304753
Gm26661,4.180539918,3.839316169,5.089356119,4.357777476,5.41464462,4.504411093,5.316551158,4.580092609
Gm26664,5.095715428,5.177359032,5.473465776,4.719959095,5.449443358,5.150457663,4.729595549,4.632304753
Gm26670,3.257985693,2.74541698,3.509120784,4.213571538,3.754514997,2.568292345,3.72359965,3.419073943
Gm26671,5.955034981,6.798475812,6.906418437,7.230736309,6.467207787,7.150037617,6.821626734,7.211511561
Gm26674,2.401420696,1.537020172,3.247501513,3.666974962,2.044089349,0.990021039,3.45815989,3.998699243
Gm26698,3.086725277,3.633625333,3.730501544,3.873049614,2.857634183,4.440320587,3.72359965,3.63918141
Gm26704,1.651506794,1.94595129,2.255963294,4.424812223,0,2.982491259,3.304550997,4.731380815
Gm26705,1.651506794,2.524781453,4.243251938,4.287475537,1.029542097,2.790205635,4.390985108,4.219563117
Gm26708,3.257985693,3.839316169,3.922387411,1.560871642,3.512702516,4.934819288,3.94770773,3.830110394
Gm26717,3.791782327,3.740133422,3.384233317,4.213571538,3.861746085,4.504411093,3.840000937,4.286260155
Gm26725,3.549432527,2.524781453,3.730501544,4.213571538,2.857634183,3.441236399,4.047929096,3.998699243
Gm26728,1.651506794,1.537020172,2.255963294,3.42647974,1.624219046,1.571641822,2.711532574,2.842080403
Gm26736,1.050193754,1.94595129,0.959126774,2.292970411,0,1.985005555,1.687091337,2.842080403
Gm26737,1.050193754,1.94595129,3.829632355,4.357777476,2.044089349,2.568292345,3.596975923,3.830110394
Gm26759,2.892361419,3.1056412,2.927693521,0.981969675,3.222033221,2.568292345,2.114401213,2.652837165
Gm26761,2.074650594,3.25682234,4.444330582,3.551732836,3.222033221,3.441236399,4.141638214,3.63918141
Gm26766,0,0.964193439,0,0.981969675,1.624219046,0.990021039,2.114401213,3.009353972
Gm26779,3.411056229,2.264203111,2.736560896,2.554785542,2.857634183,1.985005555,3.132616228,1.466240516
Gm26782,6.712435793,6.893854709,8.234741915,8.559995869,7.012225345,7.29298236,8.374127432,8.407258508
Gm26787,2.074650594,0,1.938247551,0.981969675,2.857634183,2.305928457,0,2.178242633
Gm26796,0,1.94595129,0.959126774,2.77630642,0,1.985005555,0,2.178242633
Gm26797,0,0.964193439,2.255963294,3.551732836,0,1.571641822,3.132616228,3.294995241
Gm26801,4.679681785,4.454267698,5.9844245,5.771722164,5.266394682,5.439862462,5.980983016,4.993342225
Gm26810,2.667674102,2.74541698,2.516182617,3.289309488,3.63866916,2.982491259,1.077266385,2.652837165
Gm26812,4.679681785,4.97412177,2.516182617,1.9728693,5.701200683,5.189970893,3.132616228,1.865726534
Gm2682,5.344114559,4.929797973,7.165550753,6.918203801,5.056698968,4.504411093,7.258091912,7.167957673
Gm26826,2.074650594,3.25682234,3.096441072,3.551732836,2.857634183,2.790205635,1.687091337,2.434968089
Gm26850,2.074650594,2.524781453,2.927693521,2.554785542,1.624219046,1.571641822,1.687091337,2.434968089
Gm26862,3.899224286,3.393653009,3.384233317,4.424812223,4.142578419,4.440320587,2.937383043,3.830110394
Gm26877,2.892361419,3.25682234,4.380368515,5.052254449,3.512702516,4.228961122,4.047929096,5.071062237
Gm26881,3.411056229,3.25682234,2.255963294,3.666974962,2.857634183,3.981232466,1.687091337,2.842080403
Gm26885,0,1.94595129,0.959126774,3.551732836,1.624219046,2.790205635,1.687091337,2.178242633
Gm26891,4.341597482,3.839316169,2.736560896,0.981969675,4.914494415,3.981232466,3.596975923,0
Gm26901,3.086725277,3.740133422,3.096441072,3.289309488,3.374675903,3.441236399,4.536095438,4.219563117
Gm26902,4.618107928,4.101526745,4.444330582,3.289309488,4.054904328,4.30290867,3.840000937,3.63918141
Gm26910,4.486467174,4.836843266,5.591159979,5.98664423,5.611860108,6.024672223,5.190658097,5.549615167
Gm26912,4.092724932,3.633625333,3.922387411,4.053334092,3.374675903,4.151017534,4.229630007,3.998699243
Gm26935,4.341597482,4.323330428,2.927693521,3.137713623,4.515315118,3.152136624,3.304550997,3.63918141
Gm2694,7.052126496,6.972433002,6.026822866,4.66556361,6.915978139,6.800329995,6.192829806,5.108406539
Gm26944,2.667674102,3.1056412,4.727462298,3.551732836,3.051308336,3.681962772,4.603520614,4.731380815
Gm26973,5.711461345,5.835605223,5.473465776,5.895050813,4.914494415,5.472273758,5.356187179,5.465769876
Gm26982,5.851819506,6.250333045,6.441551291,6.894749685,6.14511101,6.337770497,6.488687499,7.028803365
