"AT2_Marjanovic","Liver_Marjanovic","EMT_Marjanovic","AT1.AT2_Marjaovic","Gastric.Marjanovic","GI_Marjanovic","G2M_Marjanovic","HighlyMixed_Marjanovic"
"Hnmt","Muc20","Rem2","Samhd1","Ptpn6","Lrrc26","Snrnp40","Mthfd2"
"Dhrs3","Ddc","Tmtc4","Hs2st1","Phka2","Pglyrp1","Nrm","Ep400"
"Kcne2","St3gal6","Lpar1","Jup","Pnpla8","Paqr8","Nifk","Stam"
"Tmem30a","Klk14","Pdlim4","Hipk2","Ctps2","Gk","Prc1","Cxcl16"
"Atp1b1","Zfp385b","Cxxc5","Sema3a","Polr3a","Rnf186","Gmnn","Trip10"
"Cd200","Gdpd2","Onecut2","S1pr2","Pnp2","Shc1","Cdt1","Tigit"
"Acsl5","Atp2a3","Calu","Unc13d","Asl","Tmprss2","Rfc2","Aaed1"
"Sec14l4","Ifitm2","Pdlim7","Itgb6","Galnt11","Unc45a","Rcc1","Cnih4"
"Selenos","mt-Co2","Id3","Tln1","Slc35b3","Pmaip1","Chaf1b","Gm42899"
"Gja1","Gm21738","Uchl1","Col4a1","Net1","Eps8l3","Hikeshi","Eif3a"
"Rasl11a","Cnpy2","Asap1","Scnn1b","Sptlc1","Bok","Prmt1","Tuft1"
"mt-Nd6","AC124413.2","Plpp3","2010111I01Rik","Cryl1","Gm44275","Prmt5","Lsr"
"Tmem42","Nemf","Bmp1","Thbs3","Lrrc8e","Atp2c2","Alg8","Ptrh1"
"mt-Nd2","Sardh","Tpst2","Igfbp7","Dhx40","Stom","Tk1","Litaf"
"Bex4","Pipox","Nradd","Mfsd7c","Dgat2","Enpp4","Wdr75","Kcnk1"
"H2-K1","Id1","Sdc3","Stard3","Tubb2b","Got1","Hells","Nmt2"
"Tmem164","Nme3","Peak1","2310007B03Rik","Sdccag3","Cracr2b","Rangrf","Gtpbp2"
"Brd7","Mia","Ackr3","Gsap","Lnx2","Ereg","Mcm4","Eif4g1"
"Ank3","Bambi","Lrp1","Lamb2","Arhgap27","Coro2a","Tipin","Irf6"
"Pgs1","Fgfr2","Rcn2","Osbpl9","Fam20a","Hba-a1","Uhrf1","Anxa7"
"Kcnj15","Cideb","Mast4","Ddx47","Deaf1","Cdc42ep5","Umps","Slc12a4"
"Atp6v1c2","Tcf7l1","Ctxn1","Llgl2","Wfs1","Naaa","Ciapin1","Tnfrsf11b"
"Anpep","Nfix","Dst","Epb41l5","Plekhd1","Spcs3","Cenpa","Fam107b"
"Adcy7","Tc2n","Cnnm4","Myo1b","Clic6","Rab4b","Timm10","Sgpl1"
"Slco4c1","Pqlc1","Ncam1","Pls3","Ap3b1","Prkacb","Emc8","Il24"
"mt-Nd4","Parm1","Fez2","Zfp579","Snrk","Serpinb5","Sae1","Rab6a"
"Stard3nl","Txnip","Hist1h2bc","Npnt","Scel","AI467606","Pih1d1","Chtop"
"Acaca","Zfp444","Eml1","Actn4","Ppp2r3a","Hid1","Eftud2","Pcmt1"
"Lrp2","Cited2","Hsd3b7","Foxn3","Mtmr7","Arhgap40","Cdca8","Itga3"
"Fkbp2","Id2","Usp5","Arrdc1","Ralgps2","Cx3cl1","Fen1","Hif1a"
"Atp11a","Ppp1r9a","Sh3kbp1","Cux1","Rab3b","Cxcl17","Dtymk","Pttg1ip"
"Bscl2","Gm28437","Kctd11","Il18r1","Edem2","Nbl1","Uck2","Krt23"
"Npr1","Cdh16","Tcn2","AA986860","Adh1","Cblc","Gart","Cpsf6"
"Muc1","Pdia3","Maged2","Pmp22","Slc35g2","Hk1","Spc24","Scamp4"
"Gm11771","Zfas1","Qrfp","Tppp3","Zan","Ripk4","Grwd1","Hspa9"
"Grb14","Trim46","Tcaf1","Nkx2-1","Rhpn2","Ifngr1","Dohh","Vmp1"
"Anxa6","Etv1","Csgalnact1","Cavin2","Xpc","Celf4","Anp32e","Bcl10"
"Ang","Slc25a37","Glmp","Ehd2","Gcnt3","Plac8","Bub1b","Cdcp1"
"Slc26a9","Rab27a","Htra1","Piezo1","Pid1","Cfb","Tomm40","Sbno2"
"Atp6v1b2","mt-Rnr2","Leprot","Fam53b","Slc38a7","Hspa4l","Mrps23","Slc1a4"
"mt-Atp8","Gm10717","Nptn","Tpp1","Pabpn1","Tor3a","Nip7","1110038B12Rik"
"Cyp2f2","Ak1","Add1","Mical2","Zdhhc9","Ifngr2","Timm50","Clk3"
"Exosc7","Gm10020","Kcnn4","Arhgap45","Ndrg4","St3gal5","Asf1b","Atp6ap2"
"Itih4","Pdrg1","Slc6a6","Pias1","Dsp","Plxna2","Gm10184","Sf1"
"Snx25","Arg1","Spsb1","Kank2","Fbxl4","Adamtsl5","Itpa","Cyth2"
"Atp8a1","Lztr1","Npy","Liph","Herc3","Rhof","Prim1","Nt5c3"
"Adam19","Grb7","Tiam2","Aco1","Gpat4","Cr1l","Rpa3","Trmt1"
"Rab9","Tmeff2","2900097C17Rik","Icam1","Misp","Dok1","Prmt3","Trappc4"
"Trp53inp2","Gkn3","Efemp2","Ptpn14","Erlin2","2610528J11Rik","Cops3","Coq10b"
"Nkd1","Pde7b","Apbb2","Fam189a2","Sin3a","Slc35d1","Pold1","Fubp1"
"mt-Nd3","Comt","Uba3","Hspg2","Hnf4a","Mark2","Rfc3","Mafg"
"Gm45236","Cox16","Mical3","Trp53bp2","Hgsnat","Tns4","Ddx1","Afdn"
"mt-Atp6","Alkbh6","Myo10","Plxnb1","Papss2","Adam9","Nup35","Mdm2"
"Aplp2","Aass","Plat","Csrp1","E330009J07Rik","Slc2a1","Cdca3","Ptp4a1"
"Sult1a1","Cd38","2610203C20Rik","Hdac5","Zfp512","Gsdmd","Exosc8","Sec62"
"Slc31a1","Ppp1r3c","Rab31","Arl4c","Elovl7","Cd55","Ak2","Malt1"
"Nenf","Pon3","Creb3l2","Plxnb2","Myrf","Micu1","Nde1","Ptpn23"
"Itga9","Slc40a1","Map2k1","Airn","Afp","Camk2d","Gfer","Ntm"
"Gpx8","Vcpkmt","Wipi1","Myo1e","Glb1","Alpi","Nop58","Fam50a"
"Lrrk2","Trp53bp1","Pxdn","Nsun4","Foxa3","Gpr137","Atad3a","Mier1"
"Ogdh","Gm37899","Pold4","Wwp1","Thoc2","Plet1","Clns1a","Vps35"
"Dcaf11","Fam13a","Rnf24","Nckap5","Ormdl3","Ttc39b","Srrt","Usp6nl"
"Gm6166","Fgd2","Pilra","Slc48a1","Zcchc6","Pls1","Gpn1","Ascc3"
"Adgrf5","Hpn","Stc1","Pkp2","Psd4","Arrdc3","Atpaf2","Gtpbp4"
"Ldlr","Top1","Tmem50a","Wfdc1","Gmds","Plekhb2","Mad2l1","Fdx1l"
"H2-Eb1","Ttc3","Tpd52l1","Adgrg1","Madd","Ormdl2","Nup85","Ankrd12"
"Arl6ip1","Lce3f","Pmepa1","Map6","Hmgcs1","Il17rc","Nudt5","Map3k20"
"H6pd","Tmem27","Spaca6","Hdac7","Syngr1","B4gat1","Orc2","Usp16"
"Selenop","Slc13a2","Ttyh2","Mbnl1","Dpep2","Rab3d","Dnph1","Rnf44"
"Azin1","Bcl2a1b","Krt20","Eps8l2","Pex5","Tmem9b","Cdc16","Rbm25"
"Xdh","Cers6","Bnip2","Arhgef17","Ephb4","Eya2","Mrto4","Ptbp3"
"Kcnj13","Nek6","Ifi211","Efna1","Atxn3","Oma1","Actl6a","Pcnp"
"Yae1d1","Kdelr2","Ltbp4","Lamb3","Srd5a3","5730559C18Rik","Anapc15","Rlim"
"Rprm","Las1l","Ifi204","Tfdp2","Mpzl2","Pdxdc1","Mtap","Wasf2"
"Cmtm8","Ccdc189","9-Sep","Mal2","Mfsd14b","Dpcr1","Aldh18a1","Plaur"
"Smarca2","A530020G20Rik","Itga5","Sptbn1","2010107G23Rik","Igsf5","Ctps","Lamtor3"
"Prps2","Clstn3","Cttn","Klc3","Tcta","Pea15a","Alg3","Luc7l"
"Prrg3","Rtl1","Rasa3","Flrt3","G6pdx","Tmem2","Mdc1","Pdpk1"
"C3","Mettl26","Frmd4a","Serinc5","Zfp961","Pgap2","Hpf1","Ubxn4"
"Iah1","Ryr3","Tubb6","Cadm1","Marveld3","Pgap1","Rrm2","Ugcg"
"Abhd5","Msrb2","Hsd17b12","Serpinb9","Arl4a","Eml2","Lig1","Lad1"
"Crnde","Creb3l1","Smoc2","Osbpl5","Vopp1","Eva1c","Ppil3","Trp53inp1"
"Tnfaip1","Unc119","Plekha2","Myo1c","Dusp16","Cyfip1","Psmg2","Xrn2"
"Gde1","Vgll4","Arhgef40","Kifc3","Ccdc120","Rab27b","Pole4","Nras"
"mt-Nd1","Bpifb2","Tango2","AC154734.2","Gja3","R3hdml","Nup93",""
"Myo5c","Ppm1h","Tead2","Pitpnm3","Cdadc1","Mgat5","Nop16",""
"Dpp9","Atp13a4","Rtn4","Gsn","Aim2","Herc2","Mrpl37",""
"Aldh1a7","Klhl13","Rgs17","Shroom3","Ulk3","Ethe1","Top2a",""
"Cat","Arhgap24","Sned1","Wwc1","C230014O12Rik","Tgm1","Ccna2",""
"Plekhb1","Gm15401","Pitpnc1","Ssh1","Evi5","Pfkl","Ilf2",""
"Lcp1","Nat8f1","Pcdh7","Nbeal1","Tanc2","Plek2","Rpf2",""
"Pde4d","Pdia6","Usp22","Sdc1","Slamf9","Ide","Kif23",""
"Rpn2","Smpd2","Cep170","Cav1","Rgl2","Slc35f5","Abce1",""
"Srebf1","Cd177","Gm28875","Sec14l1","Chdh","Dok4","Aaas",""
"B2m","Rcn3","Actr1a","Rin2","Fam129a","Dgka","Nup62",""
"Usp8","Rrbp1","G3bp2","Magi1","Tceanc","Mbp","Smc2",""
"Gm10222","Tspan11","Rara","Nedd9","Jade3","Osmr","Mrpl35",""
"Ddx5","mt-Co3","Timp2","Zfp266","Zfp644","Gbf1","Mrpl9",""
"Slc26a4","St6gal1","Egfr","","Tbc1d9b","Dopey2","Ftsj3",""
"Ccz1","Idh1","Tnc","","Lrrc8d","Gale","Ube2c",""
"2610028H24Rik","Gm26945","Frmd8","","Parp6","Ptgfrn","Crcp",""
"Enpep","Mpdu1","Rasa1","","Wdr60","Ttc7","Ppid",""
"Szt2","Adora1","Ngf","","Asb13","Stn1","Vrk1",""
"Fbxo9","Rsrp1","Angptl2","","Zmynd11","Paqr4","Sf3a3",""
"Agpat3","Epb41l4aos","Copg1","","Tmem82","Gm37024","Larp7",""
"Sdha","Ddrgk1","Cdk6","","Nudt8","Slc23a3","Hirip3",""
"Ccpg1","Ctsa","Fmnl3","","Fxyd2","Tjp3","Nup37",""
"Pnpla2","Npdc1","Tex261","","Mrs2","AI661453","Josd2",""
"Lifr","Ubr1","Golim4","","Golga5","Gldc","Wdr12",""
"Fads1","Ndrg3","Spop","","Trpm4","Thpo","Mecr",""
"","Nr1h3","Smad7","","Chmp7","Tbc1d2","",""
"","Jmjd8","Gabre","","Armc10","Svip","",""
"","Dpp7","Galnt1","","Osbpl7","Trove2","",""
"","Gstt3","Dnajc10","","Sugct","Bad","",""
"","Rpgrip1","Angptl4","","Srd5a1","Eml3","",""
"","Yipf3","Sh3pxd2b","","Gipc2","Lima1","",""
"","Pnisr","Prkar1b","","Specc1l","Pxk","",""
"","Ppp1r14d","Itgb1","","Prr36","Fut2","",""
"","Pld1","Jkamp","","AC121094.1","Cyb561","",""
"","Zbtb20","Mkln1","","Tmem62","Sytl2","",""
"","Mocs1","Styk1","","Jarid2","Hbb-bt","",""
"","Gm26870","Glg1","","Lrrc61","Fam213a","",""
"","Slc12a2","Map4","","Cdk18","Pak4","",""
"","Ugp2","Fam19a5","","1110012L19Rik","Ttll7","",""
"","","Nbr1","","Nqo2","Fam45a","",""
"","","Ccs","","Myo6","Kiss1r","",""
"","","Sdf4","","Cln5","Lgals4","",""
"","","Ptprs","","Ikbkg","Trim8","",""
"","","Gnai2","","Raf1","Zfp53","",""
"","","Aqp3","","Herc4","Slc5a5","",""
"","","7-Sep","","","Hsd17b11","",""
"","","","","","Pitpnm1","",""
"","","","","","Bcr","",""
"","","","","","Capn5","",""
"","","","","","Smim7","",""
"","","","","","Stat6","",""
"","","","","","Pkp3","",""
"","","","","","Tor4a","",""
"","","","","","Gm20400","",""
"","","","","","Slc22a18","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
